employee_id,first_name,last_name,email,phone,gender,hire_date,salary,designation,store_id
29,Yashasvi,Upadhyay,nathaniel27@example.org,4273233891,Female,2021-03-15,63742,Inventory Executive,12
30,Fiyaz,Khatri,ydeo@example.com,8702447557,Male,2026-01-23,31838,Sales Executive,10
31,Aradhana,Garde,ahluwaliajairaj@example.com,3342363194,Female,2020-05-14,39741,Sales Executive,33
32,Owen,Suri,anjalipingle@example.net,4262810447,Male,2024-09-09,66111,Customer Support,25
33,Zarna,Chauhan,adixit@example.net,2056456082,Female,2020-12-23,61239,Sales Executive,36
34,Umang,Seshadri,siyatak@example.com,5263728603,Male,2024-08-22,38864,Store Manager,32
35,Janani,Mallick,khalsaadvika@example.com,0054528034,Female,2025-10-28,32317,Sales Executive,25
36,Joshua,Chawla,vohrajanani@example.net,9085225877,Male,2024-11-07,22287,Sales Executive,20
37,Ekaja,Kale,maanasbansal@example.org,0996080761,Female,2025-01-30,50337,Cashier,8
38,Nilima,Bahl,widishasubramaniam@example.net,7047049955,Female,2024-10-19,73506,Inventory Executive,39
39,Michael,Pathak,christopher96@example.org,8950712843,Male,2022-07-11,22659,Store Manager,41
40,Bahadurjit,Bhatia,balakrishnantarak@example.com,3219846410,Male,2019-11-22,32555,Cashier,45
41,Zashil,Mand,ssabharwal@example.net,2512628034,Male,2025-09-30,62963,Cashier,11
42,Yashica,Gera,gautam24@example.org,4296419236,Female,2023-01-16,49074,Sales Executive,35
43,Yochana,Menon,tripathiaahana@example.org,7609114896,Female,2026-01-06,39209,Inventory Executive,40
44,Yahvi,Golla,bhavinikota@example.org,7899324414,Female,2022-09-09,37049,Sales Executive,2
45,Gavin,Kumer,vasanamagar@example.org,8018438864,Male,2023-03-23,60401,Sales Executive,5
46,Ria,Thaman,gayathri42@example.com,3301344027,Female,2023-04-15,28152,Store Manager,40
47,Kamya,Boase,anjali22@example.org,8929253979,Female,2022-11-01,25564,Customer Support,43
48,Ojas,Bal,harishverma@example.com,1002474063,Male,2022-09-05,62678,Store Manager,34
49,Balhaar,Sinha,wagarwal@example.com,7892932771,Male,2023-05-05,28393,Store Manager,9
50,Jagvi,Kaur,banerjeevarenya@example.net,2181944419,Female,2019-01-20,58150,Store Manager,37
51,Chasmum,Chaudhary,echokshi@example.com,1129200155,Female,2019-08-26,22357,Sales Executive,39
52,Rehaan,Palla,nsharma@example.com,7472572362,Male,2018-11-02,36295,Customer Support,34
53,Vritti,Hari,gramakrishnan@example.org,9006480411,Female,2026-02-18,78722,Customer Support,45
54,Anusha,Thaker,wishijayaraman@example.net,5880963479,Female,2020-10-07,34975,Sales Executive,32
55,Radha,Choudhary,pguha@example.org,5382923017,Female,2022-03-18,35394,Cashier,20
56,Gopal,Jain,faraschhabra@example.org,4080987326,Male,2026-06-13,77890,Sales Executive,21
57,Harinakshi,Prashad,radhika18@example.com,7384337948,Female,2020-05-18,22627,Store Manager,14
58,Abeer,Mittal,zinal12@example.com,4049535839,Male,2024-10-21,33411,Customer Support,47
59,Lipika,Choudhary,nimrat84@example.com,0157331052,Female,2021-06-22,37059,Sales Executive,50
60,Sanaya,Maharaj,tanand@example.net,4098648028,Female,2020-02-13,21799,Store Manager,6
61,Peter,Barad,dalajadugal@example.net,2381966728,Male,2023-02-20,65671,Store Manager,9
62,Abdul,Batta,avnidugar@example.net,6194532518,Male,2026-04-29,48161,Cashier,42
63,Ladli,Chadha,narayanananjali@example.org,8079000731,Female,2021-02-28,70205,Inventory Executive,18
64,Megha,Aggarwal,zachariahaachal@example.com,7719243902,Female,2025-01-27,71232,Sales Executive,2
65,Hemangini,Kara,ubajaj@example.org,1163620489,Female,2022-05-23,27545,Store Manager,49
66,Lekha,Bhasin,hemaramaswamy@example.com,3018842173,Female,2021-02-10,77130,Customer Support,27
67,Nikita,Srinivas,aradhana10@example.net,6298899963,Female,2023-03-08,39107,Customer Support,35
68,Sai,Gill,rkota@example.net,2874837558,Female,2019-04-06,58411,Inventory Executive,46
69,Ridhi,Cheema,barkharaja@example.com,6358297341,Female,2023-09-23,47164,Store Manager,26
70,Yug,Dugar,shivani77@example.com,6437419576,Male,2023-08-12,76017,Customer Support,7
71,Yashica,Singh,dgour@example.org,7147400933,Female,2025-09-01,75914,Inventory Executive,27
72,Warjas,Kapoor,fyohannan@example.org,9520905004,Male,2023-09-15,20405,Sales Executive,46
73,Jeremiah,Bhagat,tbail@example.net,8195809929,Male,2020-10-07,27070,Store Manager,23
74,Ira,Chandra,ati52@example.com,3164996298,Female,2021-08-11,75259,Cashier,10
75,Indali,Shankar,tellayug@example.com,6076564198,Female,2025-05-10,72874,Customer Support,11
76,Amara,Varghese,oliverhegde@example.org,9598550556,Female,2018-08-06,33486,Store Manager,25
77,Veer,Jayaraman,hredhaan85@example.org,8528295095,Male,2020-05-27,74793,Cashier,50
78,Zaid,Raghavan,janaki22@example.com,4951228625,Male,2026-04-25,73864,Inventory Executive,2
79,Vinaya,Gera,eshanachacko@example.net,0149028793,Female,2023-05-18,40472,Inventory Executive,16
80,Hemani,Manda,garimadivan@example.com,5091150754,Female,2024-02-27,46103,Cashier,26
81,Sudiksha,Butala,igour@example.net,4967502906,Female,2022-06-21,72649,Store Manager,36
82,Janya,Thakur,uppalumang@example.com,4138570979,Female,2022-03-31,65802,Cashier,7
83,Amruta,Sengupta,krish34@example.com,8811745507,Female,2022-01-18,28644,Store Manager,42
84,Theodore,Bajaj,chadveda@example.com,2717397656,Male,2022-11-10,26383,Store Manager,14
85,Laban,Dar,urishillasarin@example.com,0285579060,Male,2021-05-22,25922,Customer Support,6
86,Guneet,Buch,maniamol@example.org,3650899739,Male,2023-06-16,54466,Cashier,7
87,Hamsini,De,sahotachampak@example.com,3642632452,Female,2021-10-01,40339,Store Manager,37
88,Harish,Biswas,hmitter@example.org,0611590930,Male,2020-03-11,37112,Cashier,18
89,Jagdish,Sabharwal,cgarde@example.org,5037719064,Male,2020-08-04,37711,Sales Executive,4
90,Jack,Halder,hdube@example.net,6580068882,Male,2021-03-29,41432,Store Manager,19
91,Nandini,Modi,aram@example.org,9063953175,Female,2018-09-08,19862,Customer Support,10
92,Bhanumati,Sachdeva,bnagar@example.org,3853495374,Female,2021-04-26,23369,Sales Executive,29
93,Jagrati,Devan,anay34@example.com,8717888513,Female,2020-06-18,18421,Sales Executive,11
94,Yochana,Sawhney,ojasvitailor@example.net,3635448004,Female,2024-10-01,70870,Customer Support,8
95,Raghav,Tiwari,ikshitaanne@example.org,4293472002,Male,2019-04-07,34522,Customer Support,25
96,Ishwar,Joshi,liamsha@example.com,5529330199,Male,2023-06-09,66451,Inventory Executive,40
97,Farhan,Gole,eiravativirk@example.net,8456187420,Male,2020-03-02,28571,Inventory Executive,36
98,Nilima,Venkataraman,manesachi@example.org,5499903340,Female,2023-10-21,61012,Sales Executive,28
99,Anmol,Dhaliwal,chandreshwali@example.net,2810327051,Male,2025-07-01,19156,Sales Executive,40
100,Yagnesh,Bhatia,xbhatia@example.org,4491056192,Male,2018-08-29,50607,Inventory Executive,20
101,Kiaan,Subramaniam,nakshmurthy@example.net,5750176732,Male,2024-07-30,59868,Store Manager,48
102,Chakradhar,Badal,vasudha21@example.com,9819981825,Male,2024-08-09,64036,Sales Executive,6
103,Leena,Khare,vincentmitra@example.net,5847479274,Female,2019-08-14,48321,Inventory Executive,7
104,Prisha,Kunda,boranikita@example.com,2578366069,Female,2024-09-21,79393,Inventory Executive,26
105,Hemang,Kalla,advay78@example.org,4297684980,Male,2024-02-23,26005,Store Manager,43
106,Falan,Verma,danielde@example.org,0191779422,Male,2022-08-19,50288,Customer Support,24
107,Frederick,Dash,sidhuindrajit@example.org,0100879133,Male,2024-06-28,66033,Customer Support,42
108,Kritika,Basak,guptasamarth@example.net,9488552487,Female,2021-05-11,72956,Cashier,21
109,Thomas,Nagarajan,qdalia@example.org,6768654596,Male,2021-11-18,33374,Inventory Executive,7
110,Sanya,Yogi,nathanmuni@example.net,4534123451,Female,2021-02-17,37955,Cashier,14
111,Oeshi,Chauhan,balvan33@example.net,8909398366,Female,2018-12-14,27333,Customer Support,50
112,Qabil,Sankaran,nayarvinaya@example.net,4475973990,Male,2022-03-18,58421,Store Manager,19
113,Girindra,Johal,wableharrison@example.com,6002525056,Male,2020-01-31,31752,Cashier,32
114,Ganga,Rout,ayohannan@example.com,9409989871,Female,2019-01-04,35891,Store Manager,46
115,Theodore,Sama,edhithanatarajan@example.com,8372024334,Male,2021-11-26,29763,Store Manager,48
116,Geetika,Vig,gaganshan@example.net,4954274021,Female,2018-10-12,76240,Inventory Executive,12
117,Viraj,Rao,joshua67@example.org,3157985878,Male,2018-08-20,27117,Customer Support,3
118,Rayaan,Joshi,abali@example.org,8763341518,Male,2026-04-10,55390,Store Manager,39
119,Ethan,Chahal,ganeshreva@example.com,4252153898,Male,2023-11-16,40093,Sales Executive,7
120,Yashoda,Badal,ishwar24@example.net,6525536700,Female,2025-06-01,46177,Cashier,11
121,Gaurika,Sathe,chamanraj@example.net,3119342724,Female,2021-08-08,56637,Cashier,7
122,Advika,Lal,noah27@example.org,9817633163,Female,2023-06-17,72256,Cashier,22
123,Zashil,Rattan,inaya71@example.org,7637814384,Male,2021-08-08,75828,Store Manager,8
124,Leela,Prabhu,manderkaran@example.net,8695850282,Female,2024-01-29,45026,Inventory Executive,5
125,Bahadurjit,Dada,yasti69@example.org,7384872334,Male,2024-12-15,27481,Sales Executive,42
126,Praneel,Wali,fdada@example.net,7517210323,Male,2022-07-27,55956,Store Manager,14
127,Noah,Singh,inatarajan@example.com,2821613028,Male,2022-07-12,78526,Sales Executive,35
128,Krisha,Dar,balasubramaniangabriel@example.org,9049394565,Female,2022-09-06,69169,Customer Support,37
129,Pahal,Samra,rajagopalananita@example.net,7680286568,Female,2021-03-16,42810,Customer Support,4
130,Arjun,Dhaliwal,aradhana32@example.com,5666752608,Male,2022-05-24,31225,Customer Support,23
131,Janya,Bhavsar,madanoeshi@example.net,0711733812,Female,2021-04-04,42739,Customer Support,16
132,Aishani,Mukhopadhyay,aarushbuch@example.com,3475333854,Female,2020-02-16,78839,Inventory Executive,45
133,Niharika,Dewan,rayjackson@example.org,8590743003,Female,2024-08-20,50160,Cashier,6
134,Isaac,Ramesh,amol66@example.com,9859359763,Male,2023-10-10,76353,Store Manager,38
135,Gopal,Naik,sidhudarika@example.org,3425883652,Male,2024-04-24,74088,Customer Support,26
136,Nimrat,Kadakia,menondayita@example.org,9175561798,Female,2025-04-04,45158,Inventory Executive,10
137,Fiyaz,Narula,udantbajaj@example.com,9994424993,Male,2021-08-26,65011,Sales Executive,10
138,Yutika,Merchant,ishaanmall@example.org,4955846608,Female,2019-05-01,22661,Store Manager,11
139,Bina,Iyer,ayaanthakur@example.com,2139545092,Female,2026-04-05,47578,Cashier,31
140,Ekavir,Mane,jairaj77@example.net,8680310362,Male,2021-12-01,49333,Customer Support,13
141,Harinakshi,Saini,pchaudhuri@example.com,7837590625,Female,2023-08-15,54434,Inventory Executive,18
142,Krishna,Varughese,badamiwarda@example.net,1286141844,Male,2023-12-05,68661,Sales Executive,38
143,Rishi,Sarma,zsarraf@example.org,8657673716,Male,2022-06-22,54072,Inventory Executive,27
144,Aahana,Bora,kjhaveri@example.com,8165251476,Female,2022-04-17,65836,Store Manager,7
145,Orinder,Goel,ynagi@example.net,1298314746,Male,2026-05-08,42126,Cashier,37
146,Amaira,Som,zbuch@example.com,0575905488,Female,2020-08-25,41218,Inventory Executive,20
147,Azaan,Raju,emanda@example.com,1962723958,Male,2025-06-16,28414,Inventory Executive,5
148,Yoshita,Bansal,fsehgal@example.org,0635499712,Female,2021-12-01,75499,Sales Executive,1
149,Faris,Wason,yatananand@example.net,0407570784,Male,2023-11-11,56893,Inventory Executive,48
150,Shravya,Golla,veer83@example.org,3054371010,Female,2019-08-26,43280,Store Manager,11
151,Anmol,Kota,azaan17@example.com,9261548933,Male,2019-12-22,56640,Store Manager,40
152,Jai,Goyal,nviswanathan@example.net,1279156227,Male,2020-11-10,78158,Store Manager,21
153,Yashoda,Soni,saminathan@example.org,2350032156,Female,2025-12-15,26763,Customer Support,3
154,Amara,Bhalla,somalka@example.org,5918904214,Female,2019-08-29,64131,Customer Support,27
155,Ojas,Wali,tanveerbalasubramanian@example.com,7715515821,Male,2020-04-20,18078,Inventory Executive,26
156,Eiravati,Dixit,chandranbir@example.com,7142319796,Female,2021-08-05,61707,Sales Executive,3
157,Ladli,Prabhakar,chaitalysant@example.com,6853321806,Female,2024-12-16,49318,Store Manager,1
158,Yashoda,Bhakta,xborde@example.net,7590097745,Female,2020-06-14,33739,Inventory Executive,17
159,Falguni,Bhakta,sankarvamakshi@example.net,7148393218,Female,2026-06-03,79253,Cashier,43
160,Wyatt,Deshpande,saumyaroy@example.net,6790439236,Male,2021-04-05,43443,Store Manager,34
161,Christopher,Om,ksani@example.com,5581574708,Male,2021-11-02,50535,Customer Support,17
162,Owen,Sahota,ayaanwalla@example.net,3154641961,Male,2022-03-15,74197,Cashier,11
163,Luke,Sathe,balgavin@example.net,5272046755,Male,2019-08-29,30068,Inventory Executive,15
164,Jeremiah,Bora,ravioscar@example.com,1234048277,Male,2019-07-27,79787,Store Manager,22
165,Veer,Zachariah,pranav69@example.net,0491484438,Male,2018-07-28,28260,Store Manager,22
166,Falguni,Trivedi,deshpandepranav@example.net,8735381919,Female,2021-09-20,28718,Sales Executive,1
167,Anamika,Handa,gloyal@example.com,4345652623,Female,2026-04-10,78938,Customer Support,11
168,Bhavani,Shah,nsubramanian@example.org,4529329473,Female,2019-08-23,59546,Customer Support,42
169,Darpan,Madan,battavictor@example.com,8404937880,Male,2021-05-13,48449,Customer Support,4
170,Amruta,Prakash,jalsamahajan@example.net,7167254584,Female,2020-04-07,32805,Inventory Executive,9
171,Varsha,Raval,qramachandran@example.com,8651584585,Female,2021-03-16,60663,Cashier,26
172,Omya,Sen,andrew45@example.com,6153972402,Female,2023-06-04,31307,Customer Support,3
173,Dayamai,Chanda,mkala@example.com,0341172240,Female,2026-03-08,28051,Cashier,10
174,Daksha,Bhatti,anirudhramachandran@example.org,3020877052,Female,2025-09-19,73072,Customer Support,30
175,Nathaniel,Dora,shahneel@example.com,6371123506,Male,2023-09-10,32789,Cashier,39
176,Nirja,Narayan,bhavya18@example.com,3713518618,Female,2019-09-10,63080,Store Manager,37
177,Aadhya,Mahal,gnarula@example.com,5424365948,Female,2021-06-15,32751,Inventory Executive,48
178,Isaiah,Yogi,goursanaya@example.com,3327771910,Male,2026-01-22,29428,Store Manager,3
179,Ranbir,Ben,vyanjana92@example.com,4887952447,Male,2020-10-16,55516,Cashier,5
180,Jeevika,Balasubramanian,italwar@example.net,5901446043,Female,2025-12-16,21479,Cashier,9
181,Harinakshi,Prashad,ubains@example.org,3954305641,Female,2019-07-13,74957,Sales Executive,11
182,Omkaar,Rege,siyabaral@example.com,5657183127,Male,2022-10-01,55525,Customer Support,30
183,Vivaan,Batta,qchahal@example.net,6554930195,Male,2024-11-06,30326,Customer Support,37
184,Azad,Divan,shenoyowen@example.com,9594220084,Male,2022-12-05,33674,Sales Executive,21
185,Zayyan,Nanda,onikunda@example.com,4312735409,Male,2023-05-29,36591,Customer Support,45
186,Oscar,Pandya,tarabalan@example.net,2305831792,Male,2025-09-13,32323,Customer Support,49
187,Ridhi,Kale,deolraksha@example.net,7118345912,Female,2025-06-10,46523,Store Manager,23
188,Praneel,Bali,kuriantamanna@example.net,6179178185,Male,2022-07-15,18259,Inventory Executive,16
189,Maanav,Iyer,atwalchakrika@example.com,4518645837,Male,2025-08-05,41390,Inventory Executive,14
190,Hredhaan,Sehgal,niharika68@example.org,2001367861,Male,2024-05-18,53779,Customer Support,32
191,Aditya,Ramesh,krishnisha@example.net,5497489964,Male,2019-10-25,41156,Customer Support,35
192,Upadhriti,Sarkar,obalakrishnan@example.net,0215691402,Female,2023-07-26,28988,Inventory Executive,36
193,Vansha,Ramanathan,girikkhurana@example.net,5633020751,Female,2024-06-04,31964,Store Manager,6
194,Ekani,Pall,anmol91@example.com,1578255565,Female,2025-04-24,66441,Sales Executive,43
195,Harsh,Lall,yashodhara20@example.net,8948952901,Male,2022-09-21,69344,Inventory Executive,23
196,Warjas,Sane,kchada@example.net,2558690084,Male,2020-10-31,57215,Customer Support,24
197,Faras,Bandi,acharyajeremiah@example.com,9468213273,Male,2020-08-30,69979,Customer Support,34
198,Riya,Goswami,vkunda@example.com,5395184732,Female,2025-09-27,58356,Customer Support,35
199,Dalbir,Comar,saumya07@example.net,3819343284,Male,2025-11-09,44985,Inventory Executive,48
200,William,Singh,banjeet81@example.com,9237121056,Male,2024-01-19,68279,Store Manager,22
201,Azaan,Bakshi,watikachand@example.com,3997643930,Male,2021-05-13,56275,Cashier,44
202,Mitesh,Dada,guptabalvan@example.org,3861741249,Male,2022-09-28,77429,Cashier,25
203,Gaurang,Apte,qgara@example.net,4085541475,Male,2020-06-23,20032,Inventory Executive,34
204,Akshay,Sibal,rajeshrimemon@example.org,0635242249,Male,2025-12-26,54317,Store Manager,29
205,Azad,Shroff,dgarde@example.org,2285769802,Male,2023-01-02,38246,Store Manager,8
206,Victor,Patil,udyatigara@example.net,9497711972,Male,2020-12-31,56051,Customer Support,25
207,Sarthak,Vaidya,vtoor@example.net,6529915362,Male,2022-10-25,71815,Customer Support,27
208,Gagan,Joshi,ladodika@example.org,7053923760,Male,2021-07-26,48662,Customer Support,13
209,Nirja,Bhagat,abhathakkar@example.com,8776115584,Female,2019-12-15,67815,Inventory Executive,19
210,Upasna,Bera,diyakale@example.net,7752011001,Female,2026-01-26,49546,Store Manager,45
211,Odika,Sanghvi,tandonvritti@example.org,5226850448,Female,2019-09-24,51957,Sales Executive,25
212,Keya,Patil,zsrinivas@example.net,9904767502,Female,2025-09-28,74360,Cashier,49
213,Prisha,Kant,zchad@example.com,9224401462,Female,2018-09-03,33758,Sales Executive,5
214,Bhavna,Dutta,falguniratti@example.org,1141592052,Female,2024-11-17,48177,Inventory Executive,30
215,Geetika,Gopal,bmall@example.net,9310450105,Female,2025-06-16,35242,Cashier,2
216,Aarav,Dara,chaitanyaprashad@example.net,3064397144,Male,2023-12-11,29248,Sales Executive,13
217,Reva,Mutti,imaranandra@example.org,9211859840,Female,2023-11-13,59657,Inventory Executive,41
218,Radhika,Rajan,kapurdaksh@example.net,6364856823,Female,2022-06-27,23445,Sales Executive,23
219,Falguni,Kara,wyattprabhakar@example.net,4196685264,Female,2024-03-09,38402,Sales Executive,11
220,Devansh,Thakur,anay67@example.org,4289572078,Male,2024-07-13,56200,Inventory Executive,37
221,Pratyush,Nayar,manan95@example.org,5344380050,Male,2021-08-02,68316,Sales Executive,2
222,Urmi,Contractor,sachdevrajata@example.com,6832865089,Female,2019-02-22,52547,Customer Support,7
223,Vincent,Shah,meerasidhu@example.org,7774058254,Male,2025-11-12,61172,Sales Executive,33
224,Pahal,Garde,dadasiddharth@example.net,2782103813,Female,2018-10-09,39407,Inventory Executive,10
225,Inaya,Lal,ngala@example.net,5207679477,Female,2019-06-17,26545,Sales Executive,27
226,Parth,Dara,jason97@example.org,5727834188,Male,2021-03-14,31737,Sales Executive,10
227,Nidhi,Kuruvilla,pborde@example.com,2186050759,Female,2020-01-02,61505,Cashier,25
228,Sarthak,Sem,kchhabra@example.com,4448192621,Male,2023-01-16,50275,Sales Executive,46
229,Rudra,Shenoy,hritikjaggi@example.net,4559352745,Male,2021-04-20,79243,Customer Support,20
230,Zaitra,Nigam,yraj@example.net,3020167729,Female,2024-03-19,57762,Customer Support,49
231,Chavvi,Dass,xtripathi@example.com,7058480037,Female,2025-04-20,28162,Cashier,49
232,Tejas,Magar,orinder67@example.com,2919134769,Male,2025-08-13,51875,Inventory Executive,40
233,Robert,Luthra,andrakamya@example.org,2160996091,Male,2022-09-21,47599,Sales Executive,4
234,Jason,Krishnamurthy,ria35@example.org,1322508767,Male,2022-08-27,36294,Store Manager,34
235,Shivani,Gera,fitan47@example.net,6739831341,Female,2024-01-01,79113,Store Manager,4
236,Naveen,Chand,hchandran@example.net,3966012683,Male,2022-10-15,79625,Sales Executive,26
237,Pushti,Dhar,ygopal@example.com,6150845064,Female,2020-03-04,29060,Store Manager,18
238,Chanakya,Tripathi,dsastry@example.net,6746376160,Male,2020-03-10,39631,Sales Executive,30
239,Mugdha,Nori,dayamaibala@example.net,7117698935,Female,2022-04-30,43686,Inventory Executive,37
240,Abeer,Goswami,riyarama@example.com,6002448711,Male,2018-12-30,45891,Cashier,23
241,Aishani,Mand,bhattshaurya@example.com,5257901257,Female,2023-09-15,24687,Store Manager,3
242,Mason,Basak,wpuri@example.net,1774383487,Male,2023-07-11,18843,Cashier,22
243,Wishi,Murthy,dashunnati@example.net,0985507268,Female,2019-12-16,19323,Store Manager,31
244,Nitesh,Trivedi,jhalak39@example.com,7778241534,Male,2023-01-06,38682,Store Manager,12
245,Tamanna,Uppal,bkashyap@example.org,3537871169,Female,2024-02-01,40937,Cashier,18
246,Mugdha,Dua,yashodharanayak@example.org,5314445226,Female,2021-03-28,60765,Sales Executive,24
247,Maya,Dutt,kapooreta@example.org,7744985082,Female,2021-11-30,38228,Sales Executive,31
248,Jasmit,Kapur,vagarwal@example.net,7084222242,Female,2024-11-19,35165,Cashier,3
249,Shivansh,Dubey,zachariatejas@example.net,3364929828,Male,2020-05-08,54049,Cashier,32
250,Gayathri,Loyal,ythakur@example.org,0367891053,Female,2021-10-13,44600,Customer Support,39
251,Janya,Chakraborty,dugarsaumya@example.org,2839687670,Female,2024-09-19,40725,Store Manager,37
252,Rudra,Soman,spal@example.com,3706355671,Male,2022-06-15,28585,Cashier,29
253,Jalsa,Borde,meghana69@example.com,9361204895,Female,2021-05-17,34978,Customer Support,50
254,Hredhaan,Pradhan,magaryatin@example.com,6031880375,Male,2023-05-15,65565,Customer Support,42
255,Irya,Gaba,hemanginiben@example.org,4251451985,Female,2018-08-07,77761,Inventory Executive,8
256,Ryan,Ahuja,shivani67@example.com,8818889635,Male,2020-01-26,64491,Customer Support,23
257,Sai,Devi,dewanomya@example.org,0799356477,Female,2021-06-01,21890,Customer Support,46
258,Rachit,Sem,munibrinda@example.net,4313589447,Male,2019-08-09,67649,Inventory Executive,37
259,Hema,Brar,hsanghvi@example.net,0927247096,Female,2020-05-04,49128,Customer Support,16
260,Triveni,Ravel,indali97@example.com,0628806114,Female,2022-12-01,63577,Sales Executive,8
261,Bishakha,Banik,morarvasatika@example.net,4957399594,Female,2021-07-26,45664,Sales Executive,38
262,Damyanti,Ramakrishnan,champakmaster@example.net,1345244982,Female,2024-07-02,39146,Sales Executive,13
263,Aadhya,Dara,khalsaaahana@example.net,9606340844,Female,2018-08-10,32075,Customer Support,21
264,Chaitaly,Nazareth,sameshdoshi@example.org,2919415785,Female,2018-10-18,77871,Cashier,17
265,Anusha,Chaudhry,avniandra@example.net,5415028327,Female,2023-01-24,36934,Sales Executive,30
266,Yagnesh,Raj,reva58@example.net,5196140708,Male,2023-06-20,34926,Store Manager,6
267,Qasim,Sama,ekanshtella@example.com,7727011719,Male,2025-11-29,60586,Customer Support,36
268,Xavier,Walia,gagan17@example.org,6764522018,Male,2025-03-23,27519,Store Manager,36
269,Fiyaz,Dugar,vincentram@example.org,0923768107,Male,2023-07-20,36670,Customer Support,5
270,Harini,Kar,luketripathi@example.net,1562777696,Female,2020-05-13,66389,Store Manager,21
271,Devika,Bahl,pahal80@example.org,0830640543,Female,2025-06-28,48361,Sales Executive,34
272,Oliver,Narula,shrofffariq@example.com,1529678365,Male,2026-04-20,35736,Sales Executive,40
273,Vansha,Choudhary,ekhanna@example.net,5608523284,Female,2018-10-20,22351,Store Manager,40
274,Veda,Dar,oommenaditya@example.net,7834274381,Female,2020-08-14,78080,Store Manager,13
275,Jason,Uppal,chaayadua@example.net,6022636926,Male,2026-06-28,59212,Cashier,44
276,Hredhaan,Toor,matthew06@example.org,0948655031,Male,2024-06-08,73330,Cashier,35
277,Anay,Vasa,odara@example.net,5074541496,Male,2024-08-20,48754,Sales Executive,50
278,Samesh,Gera,grewalkamya@example.net,1701534166,Male,2020-06-19,68769,Cashier,16
279,Tanmayi,Andra,riya79@example.net,6887286043,Female,2025-02-18,67469,Customer Support,21
280,Upkaar,Bal,utkarsh17@example.com,8438832236,Male,2021-01-20,52663,Cashier,35
281,Kalpit,Kalita,henrychakraborty@example.com,7180409815,Male,2019-07-29,30303,Customer Support,25
282,Urishilla,Taneja,tanishdyal@example.org,2116997291,Female,2019-06-21,20750,Store Manager,50
283,Qadim,Natarajan,darika39@example.com,1876349059,Male,2019-12-30,23525,Cashier,37
284,Geetika,Jain,sakshammadan@example.net,8954373520,Female,2021-06-20,53467,Cashier,41
285,Wriddhish,Subramanian,faris43@example.com,0805756784,Male,2023-06-27,29033,Sales Executive,49
286,Kala,Chacko,bahlpahal@example.net,8215324843,Female,2022-01-16,44191,Sales Executive,24
287,Vivaan,Oommen,kuruvillayamini@example.org,9876938486,Male,2021-01-30,50234,Store Manager,13
